t_monotonic,t_wall,gpu_name,power_W,util_pct,memory_MiB,error
3794.76518733,1777948355.0458672,NVIDIA A100-SXM4-40GB,51.2,0.0,30772.0,
3795.007205514,1777948355.2878854,NVIDIA A100-SXM4-40GB,50.88,0.0,30772.0,
3795.234712806,1777948355.5153933,NVIDIA A100-SXM4-40GB,50.88,0.0,30772.0,
3795.463291214,1777948355.7439716,NVIDIA A100-SXM4-40GB,51.15,1.0,30772.0,
3795.690492997,1777948355.971173,NVIDIA A100-SXM4-40GB,51.47,4.0,30772.0,
3795.918413264,1777948356.1990933,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3796.146469604,1777948356.4271495,NVIDIA A100-SXM4-40GB,51.15,4.0,30772.0,
3796.373504837,1777948356.654185,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3796.600607078,1777948356.881287,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3796.829139333,1777948357.1098194,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3797.056388217,1777948357.337068,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3797.283458713,1777948357.5641387,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3797.511884014,1777948357.792564,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3797.739721035,1777948358.0204015,NVIDIA A100-SXM4-40GB,51.2,4.0,30772.0,
3797.967157225,1777948358.247837,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3798.194644263,1777948358.4753242,NVIDIA A100-SXM4-40GB,51.15,3.0,30772.0,
3798.421550293,1777948358.7022305,NVIDIA A100-SXM4-40GB,51.2,4.0,30772.0,
3798.649409597,1777948358.9300897,NVIDIA A100-SXM4-40GB,51.47,4.0,30772.0,
3798.876772538,1777948359.1574526,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3799.104220553,1777948359.3849006,NVIDIA A100-SXM4-40GB,51.15,3.0,30772.0,
3799.331032804,1777948359.6117127,NVIDIA A100-SXM4-40GB,51.15,4.0,30772.0,
3799.557973082,1777948359.8386533,NVIDIA A100-SXM4-40GB,51.47,4.0,30772.0,
3799.785493231,1777948360.0661736,NVIDIA A100-SXM4-40GB,51.15,3.0,30772.0,
